"","c.X5...0..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...1..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...2..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...3..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...4..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...5..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...6..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...7..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...8..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...9..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0.."
"X0.72",0.000168833361472227,0.000593295757935331,0.0114132259147365,0.000326211058554885,0.000342348510783978,0.000553505535055351,0.131294356201419,0,0,0
"X0.73",0,0.000296647878967665,0.0077207116482041,0.000326211058554885,0.000171174255391989,0.000738007380073801,0.124366339979723,0,0,0
"X0.74",0,0,0.00352467270896274,0.000163105529277443,0,0.000922509225092251,0.108313619466036,0,0.000170910955392241,0
"X0.75",0.000168833361472227,0.000148323939483833,0.00167841557569654,0,0.000342348510783978,0.000738007380073801,0.0767151064548834,0,0,0
"X0.76",0,0,0.000503524672708963,0,0.000171174255391989,0.00018450184501845,0.0466373774923961,0,0,0
"X0.77",0,0,0.000167841557569654,0,0.000171174255391989,0.0003690036900369,0.023318688746198,0,0,0
"X0.78",0,0,0,0,0.000171174255391989,0.00018450184501845,0.0109834403514701,0,0,0
"X0.79",0,0,0.000167841557569654,0,0,0,0.00304156809733018,0,0,0
"X0.80",0,0,0.000167841557569654,0,0,0,0.00118283203785063,0,0,0
"X0.81",0,0,0.000167841557569654,0,0,0,0.000168976005407232,0,0,0
"X0.82",0,0,0,0,0,0,0,0,0,0
"X0.83",0,0,0,0,0,0,0,0,0,0
"X0.84",0,0,0,0,0,0,0,0,0,0
"X0.85",0,0,0,0,0,0,0,0,0,0
"X0.86",0,0,0,0,0,0,0.000168976005407232,0,0,0
"X0.87",0,0,0,0,0,0,0,0,0,0
"X0.88",0,0,0,0,0,0,0,0,0,0
"X0.89",0.000337666722944454,0,0.00100704934541793,0.000489316587832327,0,0,0.000337952010814464,0,0,0
"X0.90",0.000168833361472227,0,0.00352467270896274,0.00065242211710977,0,0,0.00337952010814464,0,0,0
"X0.91",0.000168833361472227,0,0.00855991943605237,0.00130484423421954,0.000171174255391989,0,0.00844880027036161,0,0,0
"X0.92",0.000506500084416681,0,0.0221550855991944,0.00277279399771652,0.000171174255391989,0.00018450184501845,0.0160527205136871,0,0,0
"X0.93",0.000675333445888908,0.000296647878967665,0.0436388049681101,0.00554558799543305,0.000171174255391989,0.000553505535055351,0.033457249070632,0,0.000170910955392241,0
"X0.94",0.00168833361472227,0.000593295757935331,0.0693185632762672,0.0101125428152014,0.00102704553235193,0.00129151291512915,0.0566069618114228,0,0.000341821910784481,0
"X0.95",0.00506500084416681,0.000889943636902996,0.0976837865055388,0.0161474473984668,0.00119821978774392,0.000922509225092251,0.0890503548496114,0,0.000512732866176722,0
"X0.96",0.00827283471213912,0.00148323939483833,0.124034911043974,0.0220192464524547,0.00136939404313591,0.00276752767527675,0.126900980060831,0,0.00102546573235344,0
"X0.97",0.0116495019415837,0.00519133788193414,0.151225243370258,0.0244658293916164,0.00136939404313591,0.0044280442804428,0.18012842176411,0,0.00136728764313793,0
"X0.98",0.0146885024480837,0.00697122515574014,0.163477677072843,0.0272386233893329,0.00256761383087984,0.00756457564575646,0.244677255829672,0,0.00239275337549137,0
"X0.99",0.0175586695931116,0.00741619697419163,0.157603222557905,0.0246289349208938,0.00342348510783978,0.00977859778597786,0.298073673538358,0,0.00290548624166809,0
"X0.100",0.0173898362316394,0.00622960545832097,0.139140651225243,0.0202250856304029,0.00359465936323177,0.0101476014760148,0.319871578235891,0,0.00376004101862929,0
"X0.101",0.0141820023636671,0.00504301394245031,0.107250755287009,0.0172891861034089,0.00290996234166381,0.011070110701107,0.307029401824941,0,0.00341821910784481,0
"X0.102",0.0102988350498058,0.00400474636606348,0.0696542463914065,0.0104387538737563,0.00342348510783978,0.0118081180811808,0.267320040554241,0,0.00273457528627585,0.000168095478231636
"X0.103",0.00911700151950025,0.00296647878967665,0.0416247062772743,0.00717664328820747,0.0046217048955837,0.0118081180811808,0.190435958093951,0,0.00136728764313793,0
"X0.104",0.00658450109741685,0.00148323939483833,0.018462571332662,0.00407763823193606,0.00547757617254365,0.0108856088560886,0.114565731666103,0,0.00119637668774568,0
"X0.105",0.0025325004220834,0.00103826757638683,0.00654582074521652,0.0011417387049421,0.00496405340636768,0.00830258302583026,0.0604934099357891,0,0.00136728764313793,0
"X0.106",0.00101300016883336,0.000444971818451498,0.00167841557569654,0.000163105529277443,0.0030811365970558,0.00461254612546125,0.0256843528218993,0,0.000512732866176722,0
"X0.107",0.000506500084416681,0,0.000335683115139308,0,0.00171174255391989,0.00276752767527675,0.0099695843190267,0,0.000512732866176722,0
"X0.108",0.000168833361472227,0,0.000167841557569654,0,0.000342348510783978,0.000922509225092251,0.0042244001351808,0,0.000170910955392241,0
"X0.109",0,0,0.000167841557569654,0,0,0.0003690036900369,0.000337952010814464,0,0,0
"X0.110",0,0,0,0,0,0,0,0,0,0
"X0.111",0,0,0,0,0,0,0,0,0,0
"X0.112",0,0,0,0,0,0,0,0,0,0
"X0.113",0,0,0,0,0,0,0,0,0,0
"X0.114",0,0.000148323939483833,0,0,0,0,0,0,0,0
"X0.115",0,0,0,0,0,0,0,0,0,0
"X0.116",0,0,0.000503524672708963,0.000978633175664655,0.000171174255391989,0,0.000168976005407232,0.000159616919393456,0,0
"X0.117",0.000168833361472227,0.000148323939483833,0.00486740516951997,0.00473006034904583,0.000855871276959945,0.00018450184501845,0.00135180804325786,0.000159616919393456,0,0
"X0.118",0.000675333445888908,0.000148323939483833,0.0146022155085599,0.0117435981079759,0.00102704553235193,0.0011070110701107,0.00439337614058804,0,0.000170910955392241,0
"X0.119",0.00168833361472227,0.000148323939483833,0.0386035582410205,0.0278910455064427,0.00342348510783978,0.00276752767527675,0.0135180804325786,0,0.000683643821568963,0
"X0.120",0.00455850075975013,0.000593295757935331,0.0765357502517623,0.0525199804273365,0.00599109893871962,0.0047970479704797,0.0255153768164921,0,0.00205093146470689,0
"X0.121",0.012662502110417,0.00222485909225749,0.132930513595166,0.0856304028706573,0.00804519000342348,0.0118081180811808,0.0537343697194998,0,0.00615279439412066,0
"X0.122",0.0249873374978896,0.00593295757935331,0.205270224907687,0.138965910944381,0.0102704553235193,0.0247232472324723,0.0878675228117607,0,0.013501965475987,0
"X0.123",0.0486240081040014,0.0197270839513497,0.289358845250084,0.188876202903278,0.0145498117083191,0.0374538745387454,0.127914836093275,0.000159616919393456,0.0273457528627585,0.000504286434694907
"X0.124",0.0884686814114469,0.0522100266983091,0.372272574689493,0.230468112869026,0.015234508729887,0.0512915129151292,0.190266982088543,0.000319233838786911,0.0488805332421808,0.00184905026054799
"X0.125",0.146716191119365,0.103530109759715,0.437227257468949,0.25640189202414,0.0133515919205751,0.0642066420664207,0.27593781683001,0.000319233838786911,0.0808408819005298,0.0023533366952429
"X0.126",0.200236366706061,0.15440522100267,0.471634776770728,0.257869841787637,0.0138651146867511,0.083210332103321,0.357891179452518,0.000319233838786911,0.113313963425056,0.00252143217347453
"X0.127",0.243120040520007,0.17220409374073,0.46609600537093,0.241559288859892,0.0166039027730229,0.0996309963099631,0.410780669144981,0.000159616919393456,0.139121517689284,0.00252143217347453
"X0.128",0.256457876076313,0.166716107979828,0.425646189996643,0.203881911596803,0.0231085244779185,0.109225092250923,0.427678269685705,0,0.141514271064775,0.00184905026054799
"X0.129",0.234509539084923,0.163008009492732,0.3351795904666,0.14858913717175,0.0292707976720301,0.112915129151292,0.394727948631294,0,0.118441292086823,0.00117666834762145
"X0.130",0.185379030896505,0.135568080688223,0.242363209130581,0.104061327679008,0.0362889421431017,0.104612546125461,0.317843866171004,0,0.0914373611348487,0.000840477391158178
"X0.131",0.132365355394226,0.110501334915455,0.154078549848943,0.0608383624204861,0.0451900034234851,0.0920664206642066,0.221189591078067,0,0.0676807383353273,0.000336190956463271
"X0.132",0.0778321796386966,0.0738653218629487,0.085431352802954,0.0308269450334366,0.0498117083190688,0.079520295202952,0.127407908077053,0,0.041873184071099,0.000168095478231636
"X0.133",0.0352861725476954,0.0369326609314743,0.035918093319906,0.0115804925786984,0.0410818212940774,0.0728782287822878,0.0669144981412639,0.000159616919393456,0.0240984447103059,0
"X0.134",0.0128313354718892,0.0146840700088994,0.0112453843571668,0.00391453270265862,0.0330366312906539,0.0551660516605166,0.0300777289624873,0,0.0104255682789267,0
"X0.135",0.00236366706061118,0.00430139424503115,0.00100704934541793,0.000163105529277443,0.0196850393700787,0.0381918819188192,0.0123352483947279,0,0.00410186292941378,0
"X0.136",0.000337666722944454,0.000889943636902996,0.000167841557569654,0,0.00684697021567956,0.0178966789667897,0.0047313281514025,0,0.00205093146470689,0
"X0.137",0.000168833361472227,0,0.000167841557569654,0,0.000855871276959945,0.00461254612546125,0.000844880027036161,0,0.00102546573235344,0
"X0.138",0,0,0,0,0.000171174255391989,0.000922509225092251,0,0,0.000170910955392241,0
"X0.139",0,0,0,0,0,0,0,0,0,0
"X0.140",0,0,0,0,0,0,0,0,0,0
"X0.141",0,0,0,0,0,0,0,0,0,0
"X0.142",0,0,0,0,0,0,0,0,0,0
"X0.143",0.000168833361472227,0,0.000167841557569654,0.0011417387049421,0,0,0,0.000159616919393456,0,0
"X0.144",0.000168833361472227,0.000148323939483833,0.00234978180597516,0.00717664328820747,0.00119821978774392,0,0.000337952010814464,0.000478850758180367,0,0
"X0.145",0.000168833361472227,0.000593295757935331,0.0142665323934206,0.0259337791551134,0.00496405340636768,0.0011070110701107,0.00270361608651571,0.00127693535514765,0.000170910955392241,0
"X0.146",0.0025325004220834,0.000444971818451498,0.0417925478348439,0.0572500407763823,0.0111263266004793,0.00516605166051661,0.00760392024332545,0.00223463687150838,0.000854554776961203,0
"X0.147",0.00607800101300017,0.000889943636902996,0.0936555891238671,0.10716033273528,0.0188291680931188,0.0134686346863469,0.0168976005407232,0.00383080606544294,0.00666552726029739,0
"X0.148",0.0167145027857505,0.00177988727380599,0.168177240684794,0.182351981732181,0.031153714481342,0.029520295202952,0.0397093612706996,0.00638467677573823,0.0167492736284396,0.000504286434694907
"X0.149",0.0405200067533345,0.00355977454761198,0.258811681772407,0.27613766106671,0.0498117083190688,0.057380073800738,0.0726596823251098,0.00861931364724661,0.040505896427961,0.00168095478231636
"X0.150",0.0871180145196691,0.0127558587956096,0.363376972138301,0.389332898385255,0.0595686408764122,0.0987084870848708,0.118790131801284,0.00877893056664006,0.0815245257220988,0.0047066733904858
"X0.151",0.164106027351005,0.0388608721447642,0.467606579389057,0.491436959712934,0.0693255734337556,0.144649446494465,0.174214261574856,0.00957701516360734,0.153990770808409,0.0149604975626156
"X3",0.264730710788452,0.102195194304361,0.550855991943605,0.579350839993476,0.0727490585415953,0.191881918819188,0.26495437647854,0.0105347166799681,0.260981028883951,0.0250462262565137
"X18",0.384771230795205,0.203352121032335,0.616817724068479,0.63839504159191,0.062649777473468,0.243173431734317,0.358905035484961,0.0097366320830008,0.377029567595283,0.0373171961674231
"X18.1",0.494512915752153,0.297389498665085,0.661127895266868,0.647365845702169,0.0609380349195481,0.280811808118081,0.436802973977695,0.00893854748603352,0.477867031276705,0.0435367288619936
"X18.2",0.570319095053182,0.348264609908039,0.656931856327627,0.616212689610178,0.0590551181102362,0.30719557195572,0.463163230821223,0.00845969672785315,0.552384207827722,0.0440410152966885
"X126",0.600033766672294,0.34559477899733,0.617153407183619,0.542815201435329,0.0854159534406025,0.318634686346863,0.443055086177763,0.00702314445331205,0.562467954195864,0.0389981509497394
"X136",0.556137092689515,0.316523286858499,0.541289023162135,0.424563692709183,0.118623758986648,0.324907749077491,0.360932747549848,0.00494812450119713,0.512732866176722,0.0292486132123046
"X175",0.465642410940402,0.269801245921092,0.41272239006378,0.303702495514598,0.142416980486135,0.31309963099631,0.264616424467726,0.00335195530726257,0.417364553067852,0.0211800302571861
"X26",0.342562890427148,0.202758825274399,0.27660288687479,0.19898874571848,0.154228004108182,0.291328413284133,0.166610341331531,0.00127693535514765,0.309861562126132,0.0122709699109094
"X166",0.213743035623839,0.133491545535449,0.173548170527022,0.112053498613603,0.147381033892503,0.266789667896679,0.0937816830010139,0.000638467677573823,0.198940352076568,0.00605143721633888
"X255",0.112274185379031,0.0670424206466924,0.0837529372272575,0.0486054477246779,0.12307428962684,0.225461254612546,0.0466373774923961,0.000478850758180367,0.118612203042215,0.0028576231299378
"X247",0.045416174236029,0.0264016612281222,0.031050688150386,0.0138639699885826,0.0963711057856898,0.179520295202952,0.021797904697533,0.000319233838786911,0.0608443001196377,0.000672381912926542
"X127",0.00979233496538916,0.00919608424799763,0.00537092984222894,0.00293589952699397,0.063163300239644,0.125276752767528,0.0104765123352484,0,0.0304221500598188,0
"X0.152",0.00135066689177782,0.00222485909225749,0.000167841557569654,0,0.0232796987333105,0.0697416974169742,0.00506928016221697,0,0.0123055887882413,0
"X0.153",0.000168833361472227,0,0.000167841557569654,0,0.00479287915097569,0.0193726937269373,0.00101385603244339,0,0.00410186292941378,0
"X0.154",0,0,0,0,0.000171174255391989,0.003690036900369,0.000168976005407232,0,0.000854554776961203,0
"X0.155",0,0,0,0,0,0,0,0,0,0
"X0.156",0,0,0,0,0,0,0,0,0,0
"X0.157",0,0,0,0,0,0,0,0,0,0
"X0.158",0,0,0,0.000163105529277443,0,0,0,0.000319233838786911,0,0
"X0.159",0,0.000148323939483833,0.000503524672708963,0.00505627140760072,0.000513522766175967,0,0,0.000798084596967278,0,0
"X0.160",0.000337666722944454,0,0.00570661295736824,0.0236503017452292,0.00445053064019172,0.000922509225092251,0.000337952010814464,0.00462889066241022,0.000170910955392241,0
"X0.161",0.0025325004220834,0.000444971818451498,0.0273581738838536,0.0554558799543305,0.0118110236220472,0.0040590405904059,0.00253464008110848,0.010853950518755,0.00188002050931465,0
"X0.162",0.00607800101300017,0.000741619697419163,0.0715005035246727,0.115804925786984,0.0241355700102705,0.0134686346863469,0.00794187225413991,0.0229848363926576,0.00786190394804307,0.000336190956463271
"X0.163",0.0162080027013338,0.00148323939483833,0.149378986236992,0.202740172891861,0.0441629578911332,0.0343173431734317,0.0241635687732342,0.0341580207501995,0.0264911980857973,0.00319381408640108
"X30",0.045416174236029,0.00237318303174132,0.238167170191339,0.317892676561735,0.0717220130092434,0.0662361623616236,0.0513687056437986,0.0529928172386273,0.0647752520936592,0.00924525130273996
"X36",0.102819517136586,0.00474636606348265,0.342732460557234,0.440221823519817,0.115029099623417,0.120664206642066,0.0988509631632308,0.068635275339186,0.129550504187318,0.0240376533871239
"X94",0.196522032753672,0.0140907742509641,0.439073514602215,0.552764638721253,0.149263950701814,0.200553505535055,0.153768164920581,0.0879489225857941,0.231242522645702,0.0573205580769877
"X154",0.323822387303731,0.0467220409374073,0.521483719368916,0.639536780296852,0.160390277302294,0.284132841328413,0.240114903683677,0.100558659217877,0.371047684156554,0.112792065893427
"X170",0.459733243288874,0.117175912192228,0.577039274924471,0.701353775893003,0.160390277302294,0.368634686346863,0.344711051030754,0.105187549880287,0.515125619552213,0.198184568835098
"X253",0.592267432044572,0.245179471966775,0.612453843571668,0.745718479856467,0.135398836015063,0.433763837638376,0.429705981750591,0.109337589784517,0.635446932148351,0.310808539250294
"X253.1",0.688502448083741,0.371254820528033,0.632930513595166,0.765454248899038,0.108010955152345,0.481734317343173,0.477188239270024,0.109656823623304,0.717142368825842,0.409312489494033
"X253.2",0.749282458213743,0.438297241174726,0.642833165491776,0.766432882074702,0.103218076001369,0.504428044280443,0.461811422777966,0.109816440542698,0.752179114681251,0.448983022356699
"X253.3",0.767854127975688,0.437110649658855,0.636790869419268,0.721252650464851,0.138993495378295,0.50590405904059,0.382730652247381,0.104708699122107,0.742437190223893,0.430828710707682
"X253.4",0.751983791997299,0.390240284781964,0.590970124202753,0.615070950905236,0.203697363916467,0.501107011070111,0.269685704629943,0.0948124501197127,0.705349512903777,0.350647167591192
"X225",0.682930947155158,0.323494512014239,0.503524672708963,0.482629261131952,0.256590208832592,0.487638376383764,0.166103413315309,0.0766161213088587,0.613570329858144,0.246259875609346
"X172",0.547526591254432,0.22367250074162,0.3689157435381,0.339748817484913,0.267031838411503,0.450553505535055,0.0912470429199054,0.0563447725458899,0.493932661083575,0.139014960497563
"X253.5",0.398615566435928,0.136013052506675,0.243873783148708,0.21171097700212,0.238959260527217,0.404981549815498,0.0474822575194322,0.0341580207501995,0.357887540591352,0.0684148596402757
"X242",0.23805503967584,0.0636309700385642,0.132091305807318,0.105039960854673,0.197535090722355,0.349077490774908,0.0258533288273065,0.0221867517956903,0.232097077422663,0.0263909900823668
"X195",0.113118352186392,0.0238801542568971,0.0542128230949983,0.0349045832653727,0.148065730914071,0.287638376383764,0.0126732004055424,0.0102154828411812,0.137754230046146,0.00773239199865524
"X64",0.0305588384264731,0.00845446455057846,0.0107418596844579,0.00668732670037514,0.094488188976378,0.21549815498155,0.00659006421088205,0.00255387071029529,0.0729789779524868,0.00117666834762145
"X0.164",0.00320783386797231,0.00177988727380599,0.000503524672708963,0.00065242211710977,0.0391989044847655,0.132656826568266,0.00253464008110848,0.000159616919393456,0.031960348658349,0.000168095478231636
"X0.165",0.000168833361472227,0,0,0,0.00821636425881547,0.0522140221402214,0.00101385603244339,0,0.0119637668774568,0.000168095478231636
"X0.166",0,0,0,0,0.00102704553235193,0.0112546125461255,0.000168976005407232,0,0.00273457528627585,0
"X0.167",0,0,0,0,0,0.000553505535055351,0.000168976005407232,0,0.000341821910784481,0
"X0.168",0,0,0,0,0,0,0,0,0,0
"X0.169",0,0,0,0.000163105529277443,0,0,0,0.000159616919393456,0,0
"X0.170",0,0,0.000335683115139308,0.000163105529277442,0,0,0,0.00223463687150838,0,0
"X0.171",0,0,0.000671366230278617,0.00815527646387213,0.00119821978774392,0,0,0.0083000798084597,0,0
"X0.172",0.000506500084416681,0.000148323939483833,0.00939912722390064,0.0349045832653727,0.00684697021567956,0.000738007380073801,0.000506928016221697,0.0241021548284118,0.00205093146470689,0
"X0.173",0.00371433395238899,0.000148323939483833,0.0372608257804632,0.0797586038166694,0.0201985621362547,0.00627306273062731,0.00304156809733018,0.0547486033519553,0.00717826012647411,0.000672381912926542
"X0.174",0.011143001857167,0.000593295757935331,0.0966767371601208,0.150220192464525,0.0388565559739815,0.0230627306273063,0.0114903683676918,0.0981644054269753,0.0244402666210904,0.0052109598251807
"X49",0.0381563396927233,0.00177988727380599,0.171030547163478,0.243190344152667,0.0756590208832592,0.0549815498154982,0.0336262250760392,0.152913008778931,0.0666552726029739,0.0169776433013952
"X238",0.0943778490629748,0.00252150697122516,0.260154414232964,0.338770184309248,0.125813077713112,0.111439114391144,0.0706319702602231,0.209098164405427,0.138950606733892,0.0462262565136998
"X253.6",0.199054533175756,0.00519133788193414,0.337025847599866,0.426847170119067,0.19274221157138,0.193911439114391,0.130111524163569,0.270710295291301,0.240984447103059,0.104219196503614
"X253.7",0.332601722100287,0.0132008306140611,0.410036925142665,0.493557331593541,0.244950359465936,0.298708487084871,0.206488678607638,0.320351157222666,0.381644163390873,0.202723146747353
"X253.8",0.477798412966402,0.043458914268763,0.458039610607586,0.529114336976024,0.258815474152687,0.408671586715867,0.313619466035823,0.362490023942538,0.525893009741924,0.362413851067406
"X253.9",0.608306601384434,0.120142390981904,0.47583081570997,0.548360789430762,0.243409791167408,0.485239852398524,0.41635687732342,0.393934557063049,0.627072295334131,0.532190284081358
"X253.10",0.69221678203613,0.266983091070899,0.477844914400806,0.566791714239113,0.198219787743923,0.539114391143911,0.483102399459277,0.418994413407821,0.673389164245428,0.690872415532022
"X253.11",0.735606955934493,0.416345298131118,0.484726418261161,0.593704126569891,0.146011639849367,0.556457564575646,0.490875295708009,0.426975259377494,0.658007178260126,0.794923516557405
"X253.12",0.75130845855141,0.504153070305547,0.505706612957368,0.631218398303703,0.130605956864088,0.556273062730627,0.409597837107131,0.442777334397446,0.641257904631687,0.81290973272819
"X253.13",0.758061793010299,0.50385642242658,0.543303121852971,0.658457021693035,0.182129407737076,0.549815498154982,0.282020953024671,0.443256185155626,0.614595795590497,0.768028240040343
"X251",0.770217795036299,0.433402551171759,0.549681101040618,0.633664981242864,0.276617596713454,0.537269372693727,0.164751605272051,0.431125299281724,0.605195693043924,0.651874264582283
"X93",0.754009792334965,0.320231385345595,0.51443437395099,0.530908497798075,0.35022252653201,0.506826568265683,0.0824602906387293,0.375418994413408,0.602802939668433,0.478231635569003
"X82",0.682930947155158,0.204093740729754,0.417757636790869,0.410862828249878,0.359637110578569,0.473431734317343,0.0398783372761068,0.301037509976057,0.540249529994873,0.303748529164565
"X82.1",0.545669424278237,0.105161673094037,0.291876468613629,0.271081389659109,0.305717220130092,0.425830258302583,0.0236566407570125,0.203192338387869,0.433942915740899,0.16338880484115
"X56",0.372446395407733,0.0444971818451498,0.171701913393756,0.140433860707878,0.239130434782609,0.375276752767528,0.013856032443393,0.115083798882682,0.307126986839856,0.0727853420742982
"X39",0.206314367719061,0.0157223375852863,0.0768714333669017,0.04974718642962,0.165525504964053,0.314760147601476,0.00861777627576884,0.0529928172386273,0.193300290548624,0.0230290805177341
"X0.175",0.0736113456018909,0.00459804212399881,0.0164484726418261,0.0107649649323112,0.0982540225950017,0.257380073800738,0.00405542412977357,0.0212290502793296,0.112630319603487,0.00739620104219197
